seed,policy,items_done,n_items,block_done,energy,wasted,failed,coalition_peak,rounds,j_per_item,arms_preferring_block
0,greedy-energy,5,6,0,158.6792,76.173,4,1,9,31.7358,1
0,auction-coalition,6,6,1,198.146,0.0,0,4,6,33.0243,1
1,greedy-energy,5,6,0,151.0511,70.878,4,1,9,30.2102,3
1,auction-coalition,6,6,1,166.5815,0.0,0,4,6,27.7636,3
2,greedy-energy,5,6,0,152.1735,79.7133,4,1,9,30.4347,1
2,auction-coalition,6,6,1,173.1291,0.0,0,4,6,28.8548,1
3,greedy-energy,5,6,0,163.991,70.6899,4,1,9,32.7982,2
3,auction-coalition,6,6,1,188.1923,0.0,0,4,6,31.3654,2
4,greedy-energy,5,6,0,165.5126,73.9278,4,1,9,33.1025,2
4,auction-coalition,6,6,1,179.3422,0.0,0,4,6,29.8904,2
5,greedy-energy,5,6,0,141.2218,67.1788,4,1,9,28.2444,2
5,auction-coalition,6,6,1,155.9182,0.0,0,4,6,25.9864,2
6,greedy-energy,5,6,0,179.5757,82.6373,4,1,9,35.9151,3
6,auction-coalition,6,6,1,179.764,0.0,0,4,6,29.9607,3
7,greedy-energy,5,6,0,142.3411,62.4195,4,1,9,28.4682,3
7,auction-coalition,6,6,1,195.9964,0.0,0,4,6,32.6661,3
8,greedy-energy,5,6,0,142.3196,66.0364,4,1,9,28.4639,2
8,auction-coalition,6,6,1,178.6013,0.0,0,4,6,29.7669,2
9,greedy-energy,5,6,0,135.9042,56.4134,4,1,9,27.1808,2
9,auction-coalition,6,6,1,157.8528,0.0,0,4,6,26.3088,2
10,greedy-energy,5,6,0,161.1262,81.205,4,1,9,32.2252,1
10,auction-coalition,6,6,1,195.8642,0.0,0,4,6,32.644,1
11,greedy-energy,5,6,0,146.6299,79.0002,4,1,9,29.326,2
11,auction-coalition,6,6,1,172.2704,0.0,0,4,6,28.7117,2
12,greedy-energy,5,6,0,150.6563,71.3209,4,1,9,30.1313,2
12,auction-coalition,6,6,1,180.6699,0.0,0,4,6,30.1117,2
13,greedy-energy,5,6,0,135.9374,68.4764,4,1,9,27.1875,3
13,auction-coalition,6,6,1,179.0379,0.0,0,4,6,29.8397,3
14,greedy-energy,5,6,0,143.347,68.3105,4,1,9,28.6694,2
14,auction-coalition,6,6,1,163.584,0.0,0,4,6,27.264,2
15,greedy-energy,5,6,0,151.0047,69.8815,4,1,9,30.2009,3
15,auction-coalition,6,6,1,161.7162,0.0,0,4,6,26.9527,3
16,greedy-energy,5,6,0,135.1343,70.9726,4,1,9,27.0269,1
16,auction-coalition,6,6,1,123.0725,0.0,0,4,6,20.5121,1
17,greedy-energy,5,6,0,145.1484,67.3349,4,1,9,29.0297,3
17,auction-coalition,6,6,1,193.1105,0.0,0,4,6,32.1851,3
18,greedy-energy,5,6,0,141.6023,67.2997,4,1,9,28.3205,2
18,auction-coalition,6,6,1,161.5085,0.0,0,4,6,26.9181,2
19,greedy-energy,5,6,0,165.1764,81.7525,4,1,9,33.0353,3
19,auction-coalition,6,6,1,249.2977,0.0,0,4,6,41.5496,3
20,greedy-energy,5,6,0,134.0741,58.6197,4,1,9,26.8148,2
20,auction-coalition,6,6,1,157.5956,0.0,0,4,6,26.2659,2
21,greedy-energy,5,6,0,156.9775,69.8212,4,1,9,31.3955,1
21,auction-coalition,6,6,1,201.457,0.0,0,4,6,33.5762,1
22,greedy-energy,5,6,0,156.1291,80.9346,4,1,9,31.2258,1
22,auction-coalition,6,6,1,183.5939,0.0,0,4,6,30.599,1
23,greedy-energy,5,6,0,148.5207,70.076,4,1,9,29.7041,2
23,auction-coalition,6,6,1,167.6731,0.0,0,4,6,27.9455,2
24,greedy-energy,5,6,0,157.2418,79.6593,4,1,9,31.4484,2
24,auction-coalition,6,6,1,182.1506,0.0,0,4,6,30.3584,2
25,greedy-energy,5,6,0,152.7064,71.0242,4,1,9,30.5413,0
25,auction-coalition,6,6,1,157.1841,0.0,0,4,6,26.1973,0
26,greedy-energy,5,6,0,136.3681,73.2586,4,1,9,27.2736,4
26,auction-coalition,6,6,1,174.5671,0.0,0,4,6,29.0945,4
27,greedy-energy,5,6,0,136.3993,58.1637,4,1,9,27.2799,2
27,auction-coalition,6,6,1,169.4377,0.0,0,4,6,28.2396,2
28,greedy-energy,5,6,0,129.3513,71.914,4,1,9,25.8703,3
28,auction-coalition,6,6,1,137.6228,0.0,0,4,6,22.9371,3
29,greedy-energy,5,6,0,149.9209,63.5759,4,1,9,29.9842,1
29,auction-coalition,6,6,1,165.2879,0.0,0,4,6,27.548,1
