seed,policy,step,kind,item,who,J,ok
0,greedy-energy,0,payload-fail,block,arm3,10.5647,0
0,greedy-energy,1,grasp,light3,arm3,15.2745,1
0,greedy-energy,2,grasp,light1,arm3,12.2809,1
0,greedy-energy,3,grasp,light2,arm3,19.9969,1
0,greedy-energy,4,payload-fail,block,arm4,21.539,0
0,greedy-energy,5,grasp,light0,arm4,17.8994,1
0,greedy-energy,6,payload-fail,block,arm1,22.1306,0
0,greedy-energy,7,grasp,light4,arm1,17.0545,1
0,greedy-energy,8,payload-fail,block,arm2,21.9387,0
0,auction-coalition,0,grasp,light2,arm2,20.0591,1
0,auction-coalition,1,grasp,light1,arm2,21.8413,1
0,auction-coalition,2,grasp,light4,arm2,20.971,1
0,auction-coalition,3,grasp,light3,arm4,21.8798,1
0,auction-coalition,4,grasp,light0,arm4,22.6357,1
0,auction-coalition,5,grasp,block,coalition,90.7592,1
1,greedy-energy,0,payload-fail,block,arm4,15.4719,0
1,greedy-energy,1,payload-fail,block,arm2,15.4926,0
1,greedy-energy,2,grasp,light0,arm3,18.6111,1
1,greedy-energy,3,grasp,light2,arm3,12.8545,1
1,greedy-energy,4,grasp,light4,arm3,13.8948,1
1,greedy-energy,5,grasp,light3,arm3,13.6683,1
1,greedy-energy,6,payload-fail,block,arm1,19.1649,0
1,greedy-energy,7,payload-fail,block,arm3,20.7486,0
1,greedy-energy,8,grasp,light1,arm2,21.1445,1
1,auction-coalition,0,grasp,light0,arm3,17.1888,1
1,auction-coalition,1,grasp,light2,arm3,12.8545,1
1,auction-coalition,2,grasp,light4,arm3,13.8948,1
1,auction-coalition,3,grasp,light3,arm3,13.6683,1
1,auction-coalition,4,grasp,light1,arm1,26.8896,1
1,auction-coalition,5,grasp,block,coalition,82.0855,1
2,greedy-energy,0,payload-fail,block,arm3,14.2955,0
2,greedy-energy,1,grasp,light4,arm4,14.456,1
2,greedy-energy,2,grasp,light0,arm4,5.1122,1
2,greedy-energy,3,payload-fail,block,arm4,13.1103,0
2,greedy-energy,4,grasp,light2,arm4,16.6348,1
2,greedy-energy,5,grasp,light1,arm1,16.8649,1
2,greedy-energy,6,grasp,light3,arm4,19.3923,1
2,greedy-energy,7,payload-fail,block,arm1,21.7167,0
2,greedy-energy,8,payload-fail,block,arm2,30.5908,0
2,auction-coalition,0,grasp,light0,arm4,15.4239,1
2,auction-coalition,1,grasp,light4,arm4,5.4929,1
2,auction-coalition,2,grasp,light2,arm4,15.3681,1
2,auction-coalition,3,grasp,light1,arm1,16.8649,1
2,auction-coalition,4,grasp,light3,arm4,19.3923,1
2,auction-coalition,5,grasp,block,coalition,100.587,1
3,greedy-energy,0,grasp,light2,arm4,14.1872,1
3,greedy-energy,1,grasp,light3,arm4,10.9684,1
3,greedy-energy,2,payload-fail,block,arm4,10.4745,0
3,greedy-energy,3,payload-fail,block,arm2,16.5368,0
3,greedy-energy,4,payload-fail,block,arm3,16.6374,0
3,greedy-energy,5,grasp,light0,arm4,19.7067,1
3,greedy-energy,6,grasp,light1,arm2,24.1994,1
3,greedy-energy,7,grasp,light4,arm3,24.2394,1
3,greedy-energy,8,payload-fail,block,arm1,27.0412,0
3,auction-coalition,0,grasp,light2,arm4,14.1872,1
3,auction-coalition,1,grasp,light3,arm4,10.9684,1
3,auction-coalition,2,grasp,light0,arm4,15.2169,1
3,auction-coalition,3,grasp,light4,arm4,21.1465,1
3,auction-coalition,4,grasp,light1,arm1,30.5611,1
3,auction-coalition,5,grasp,block,coalition,96.1122,1
4,greedy-energy,0,payload-fail,block,arm2,14.3191,0
4,greedy-energy,1,payload-fail,block,arm1,15.2054,0
4,greedy-energy,2,grasp,light2,arm1,16.89,1
4,greedy-energy,3,grasp,light4,arm1,15.8733,1
4,greedy-energy,4,grasp,light1,arm3,17.8635,1
4,greedy-energy,5,grasp,light3,arm3,16.341,1
4,greedy-energy,6,payload-fail,block,arm3,19.1051,0
4,greedy-energy,7,grasp,light0,arm3,24.6169,1
4,greedy-energy,8,payload-fail,block,arm4,25.2983,0
4,auction-coalition,0,grasp,light1,arm3,17.8635,1
4,auction-coalition,1,grasp,light3,arm3,16.341,1
4,auction-coalition,2,grasp,light4,arm3,17.7386,1
4,auction-coalition,3,grasp,light2,arm2,20.2873,1
4,auction-coalition,4,grasp,light0,arm3,22.6547,1
4,auction-coalition,5,grasp,block,coalition,84.457,1
5,greedy-energy,0,grasp,light1,arm3,13.481,1
5,greedy-energy,1,grasp,light2,arm3,13.1433,1
5,greedy-energy,2,grasp,light0,arm3,9.2005,1
5,greedy-energy,3,payload-fail,block,arm3,15.35,0
5,greedy-energy,4,grasp,light4,arm3,17.9803,1
5,greedy-energy,5,payload-fail,block,arm1,18.1318,0
5,greedy-energy,6,payload-fail,block,arm2,15.3165,0
5,greedy-energy,7,payload-fail,block,arm4,18.3805,0
5,greedy-energy,8,grasp,light3,arm2,20.2379,1
5,auction-coalition,0,grasp,light1,arm3,13.481,1
5,auction-coalition,1,grasp,light2,arm3,13.1433,1
5,auction-coalition,2,grasp,light0,arm3,9.2005,1
5,auction-coalition,3,grasp,light4,arm3,18.7513,1
5,auction-coalition,4,grasp,light3,arm2,21.5721,1
5,auction-coalition,5,grasp,block,coalition,79.7699,1
6,greedy-energy,0,payload-fail,block,arm2,16.5345,0
6,greedy-energy,1,grasp,light3,arm1,18.0257,1
6,greedy-energy,2,payload-fail,block,arm1,17.6216,0
6,greedy-energy,3,grasp,light2,arm1,16.8895,1
6,greedy-energy,4,payload-fail,block,arm3,20.5296,0
6,greedy-energy,5,grasp,light0,arm3,19.6968,1
6,greedy-energy,6,grasp,light4,arm3,18.3106,1
6,greedy-energy,7,grasp,light1,arm1,24.0158,1
6,greedy-energy,8,payload-fail,block,arm4,27.9516,0
6,auction-coalition,0,grasp,light3,arm1,18.1849,1
6,auction-coalition,1,grasp,light2,arm1,19.7974,1
6,auction-coalition,2,grasp,light4,arm1,15.9722,1
6,auction-coalition,3,grasp,light1,arm1,14.8168,1
6,auction-coalition,4,grasp,light0,arm4,26.6935,1
6,auction-coalition,5,grasp,block,coalition,84.2992,1
7,greedy-energy,0,payload-fail,block,arm2,14.4675,0
7,greedy-energy,1,grasp,light0,arm2,6.0177,1
7,greedy-energy,2,grasp,light3,arm2,14.7516,1
7,greedy-energy,3,payload-fail,block,arm1,16.5043,0
7,greedy-energy,4,grasp,light2,arm3,19.3426,1
7,greedy-energy,5,payload-fail,block,arm3,9.9934,0
7,greedy-energy,6,grasp,light4,arm3,19.0374,1
7,greedy-energy,7,grasp,light1,arm1,20.7723,1
7,greedy-energy,8,payload-fail,block,arm4,21.4544,0
7,auction-coalition,0,grasp,light0,arm1,17.5537,1
7,auction-coalition,1,grasp,light2,arm1,13.7541,1
7,auction-coalition,2,grasp,light4,arm1,8.4091,1
7,auction-coalition,3,grasp,light3,arm1,14.3323,1
7,auction-coalition,4,grasp,light1,arm2,28.9981,1
7,auction-coalition,5,grasp,block,coalition,112.949,1
8,greedy-energy,0,payload-fail,block,arm1,16.7839,0
8,greedy-energy,1,payload-fail,block,arm2,15.4581,0
8,greedy-energy,2,grasp,light3,arm3,17.0081,1
8,greedy-energy,3,payload-fail,block,arm3,13.4753,0
8,greedy-energy,4,grasp,light1,arm3,12.8783,1
8,greedy-energy,5,payload-fail,block,arm4,20.3191,0
8,greedy-energy,6,grasp,light0,arm4,13.912,1
8,greedy-energy,7,grasp,light2,arm4,18.607,1
8,greedy-energy,8,grasp,light4,arm4,13.8778,1
8,auction-coalition,0,grasp,light3,arm3,17.0081,1
8,auction-coalition,1,grasp,light1,arm3,15.8067,1
8,auction-coalition,2,grasp,light0,arm2,20.7399,1
8,auction-coalition,3,grasp,light4,arm4,21.8738,1
8,auction-coalition,4,grasp,light2,arm4,21.6889,1
8,auction-coalition,5,grasp,block,coalition,81.4839,1
9,greedy-energy,0,grasp,light1,arm4,14.3579,1
9,greedy-energy,1,payload-fail,block,arm4,8.7053,0
9,greedy-energy,2,grasp,light2,arm4,12.2366,1
9,greedy-energy,3,grasp,light3,arm4,12.6026,1
9,greedy-energy,4,payload-fail,block,arm3,14.7953,0
9,greedy-energy,5,grasp,light4,arm4,15.9157,1
9,greedy-energy,6,payload-fail,block,arm1,17.9577,0
9,greedy-energy,7,payload-fail,block,arm2,14.9552,0
9,greedy-energy,8,grasp,light0,arm1,24.378,1
9,auction-coalition,0,grasp,light1,arm4,14.3579,1
9,auction-coalition,1,grasp,light2,arm4,9.9672,1
9,auction-coalition,2,grasp,light3,arm4,12.6026,1
9,auction-coalition,3,grasp,light4,arm4,16.7578,1
9,auction-coalition,4,grasp,light0,arm1,21.5767,1
9,auction-coalition,5,grasp,block,coalition,82.5905,1
10,greedy-energy,0,payload-fail,block,arm3,14.0408,0
10,greedy-energy,1,grasp,light1,arm3,11.2617,1
10,greedy-energy,2,grasp,light3,arm3,13.3728,1
10,greedy-energy,3,grasp,light0,arm3,14.6393,1
10,greedy-energy,4,grasp,light2,arm1,18.3368,1
10,greedy-energy,5,payload-fail,block,arm1,14.5306,0
10,greedy-energy,6,grasp,light4,arm1,22.3105,1
10,greedy-energy,7,payload-fail,block,arm2,21.2718,0
10,greedy-energy,8,payload-fail,block,arm4,31.3617,0
10,auction-coalition,0,grasp,light1,arm3,17.2818,1
10,auction-coalition,1,grasp,light3,arm3,13.3728,1
10,auction-coalition,2,grasp,light0,arm3,14.6393,1
10,auction-coalition,3,grasp,light2,arm1,18.3368,1
10,auction-coalition,4,grasp,light4,arm1,27.8439,1
10,auction-coalition,5,grasp,block,coalition,104.3895,1
11,greedy-energy,0,payload-fail,block,arm3,15.4848,0
11,greedy-energy,1,grasp,light3,arm3,9.6429,1
11,greedy-energy,2,grasp,light2,arm3,8.1319,1
11,greedy-energy,3,grasp,light0,arm3,18.8154,1
11,greedy-energy,4,payload-fail,block,arm2,19.8301,0
