t,selection_mode,obj,arm,attempt,rank_J,rank_dist,node,dist,ee_dist,d_gantry_lin,d_gantry_rot,d_arm,hold,manip,J,gantry_lin,gantry_rot,ik_ms,plan_time_s,plan_ms,traj_energy,success
1784203260.3398302,random,target,arm_3,1,1,0,153,0.07120191170715756,0.9804083432646699,0.05058188910487238,1.3269447042081177,11.154631346133852,5.474357769734824,0.10271001214069433,63.37824630295197,1.2299508665277857e-06,-1.227100625985638,142.8863619803451,0.074926165,142.04592001624405,9.87964876715848,1
1784203266.7662075,random,target,arm_4,2,2,1,516,0.12337672079161877,0.9232328642038409,0.09161963899555658,1.635528467782349,11.903912332678996,8.411946992060162,0.08199286660354906,72.28196851621581,0.04209550940217896,1.2441738678170993,6.8652479676529765,0.083177849,154.65909300837666,19.050960699426962,1
1784203273.0120814,random,target,arm_4,0,0,2,2017,0.0864242237972054,0.5338274913221749,0.2267648139202152,1.9244044424642968,6.107951059511929,0.5182531434602352,0.10536408380710185,54.45664668482184,0.24096685279747793,-0.03770878737006771,10.328955017030239,0.06509050699999999,133.05059203412384,8.14075142871269,1
1784203279.9660513,random,target,arm_2,0,0,0,516,0.04903214896883278,1.0498493021743038,0.09161963899555658,1.635528467782349,12.218812332678995,8.411946992060162,0.08199286660354906,73.61093614899377,0.0,1.5408371319101546,167.17678599525243,0.099372693,190.10683603119105,17.906213798380783,1
1784203286.4471264,random,target,arm_2,0,0,0,2017,0.07568889335710986,0.6292621136322722,0.2267648139202152,1.9244044424642968,6.423051059511928,0.5182531434602352,0.10536408380710185,55.71749756736862,0.0,0.7579429197088801,7.290037989150733,0.070102209,119.37671800842509,8.94077219273067,1
1784203293.2400036,random,target,arm_3,0,0,5,2618,0.0975265402664373,0.5401670090484698,0.3218477711176886,0.9776357459757067,6.1149304158540385,1.515309980417297,0.1062797358176299,38.80124743268641,0.0,2.17864832303109,15.206474985461682,0.0783588,156.99030499672517,5.558303343969655,1
1784203300.2025328,random,target,arm_1,1,1,2,7,0.09044592942707086,0.5712459578738209,0.09713329017750238,1.146646715700396,9.665344086835544,0.6875500836547278,0.026274721132952296,53.3950882406543,0.04315266489727584,1.2482068611820332,12.09907396696508,0.045385623,97.55956596927717,8.893841450769523,1
1784203306.646898,random,target,arm_1,0,0,0,2618,0.043666903666603356,0.5024950208741502,0.3218477711176886,0.9776357459757067,6.376330415854039,1.515309980417297,0.1062797358176299,39.5894807921058,0.02117594141888686,2.1873455548005993,9.722609014716,0.052333066,120.11748796794564,6.172315627937406,1
1784203313.7485027,random,target,arm_2,1,1,0,13,0.1542467719178006,0.9979394193344823,0.3056234977133583,1.700723858927205,7.613935272676073,3.858299056254309,0.05794438335169555,58.310636753152814,0.20206599612022536,-1.0649480022711388,131.04503200156614,0.090772872,174.96634798590094,16.9727605087451,1
1784203320.077551,random,target,arm_1,0,0,0,418,0.1329913781843719,0.9426782353907962,0.30392180787164125,1.6812655639946907,9.36944560517886,5.883674817757917,0.13497951784518944,63.87041356122076,0.004353697254851478,1.8789904665562098,11.350081011187285,0.071206078,145.3032129793428,17.536992007420903,1
