t,selection_mode,obj,arm,attempt,rank_J,rank_dist,node,dist,ee_dist,d_gantry_lin,d_gantry_rot,d_arm,hold,manip,J,gantry_lin,gantry_rot,ik_ms,plan_time_s,plan_ms,traj_energy,success
1784214285.601883,fixed,target,arm_4,0,0,2,516,0.18647007569272314,0.9597120686038113,0.09161963899555658,1.635528467782349,11.903912332678996,8.411946992060162,0.08199286660354906,12.479164245881696,0.002727939759708867,1.879704060436403,182.59828601730987,0.085613871,159.4385250355117,14.853346161788652,1
1784214292.982954,fixed,target,arm_4,0,0,1,516,0.12337672079161877,0.9232328642038409,0.09161963899555658,1.635528467782349,11.903912332678996,8.411946992060162,0.08199286660354906,12.157843526168675,0.0,1.8996788770213981,13.502524001523852,0.081745393,160.45420104637742,12.068280647944908,1
1784214300.946873,fixed,target,arm_4,0,0,2,2017,0.0864242237972054,0.5338274913221749,0.2267648139202152,1.9244044424642968,6.107951059511929,0.5182531434602352,0.10536408380710185,11.827093293735622,0.24096685279747793,-0.03770878737006771,18.672668025828898,0.072640224,124.19779098127037,14.91423979240593,1
1784214309.0227385,fixed,target,arm_4,0,0,1,1281,0.07414144101207673,0.4650628531860483,0.33722879583724513,0.9576035065370977,5.447849664640079,1.5470806941486188,0.13046743511076514,10.648733687054328,0.6076193687735081,0.6797000598946289,12.756615004036576,0.07623522799999999,147.99818600295112,40.03513635466428,1
1784214317.0888615,fixed,target,arm_4,0,0,10,2726,0.12773350870465647,0.6073683613416546,0.2507709023363313,2.1214324052684153,7.1578387938707575,0.7063931015452218,0.05722059531010774,14.877217539670582,0.5271620339561427,-0.31262586795036934,11.586088978219777,0.07386663,135.75237401528284,23.37140177631252,1
1784214325.1969175,fixed,target,arm_4,0,0,3,2570,0.08031302384734057,0.5479123956264066,0.3763410425853155,2.2077258559224195,6.359356265468328,3.058711193916241,0.0995298410716581,16.261785475349704,0.20983082432432312,-0.7539585773902159,10.920513013843447,0.088286757,178.91731299459934,21.650054000172958,1
1784214333.25743,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214341.4332633,fixed,target,arm_4,0,0,42,119,0.23359905428082314,1.0507771072632806,0.1522508011065573,1.1383321441800707,8.376893911674653,9.166496767314603,0.17510455638039393,10.790003483582936,0.03772051539611161,-1.213078773544207,233.28935902100056,0.095631897,159.55587901407853,12.15547850732086,1
1784214349.3172584,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214357.3524432,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214365.5242808,fixed,target,arm_4,0,0,0,165,0.0767642891553818,1.2433550318459619,0.3892532846707397,1.3857767995610617,9.092938633863477,4.967485319016878,0.06625558558605489,21.607590167985116,0.5819051863911777,1.0988911966271886,243.57022397452965,0.064122926,129.92957601090893,29.514808371335743,1
1784214373.3571954,fixed,target,arm_4,0,0,0,165,0.08113020355189422,1.2154190232750572,0.3892532846707397,1.3857767995610617,9.092938633863477,4.967485319016878,0.06625558558605489,21.361520701077566,0.6280449193082817,1.481914792378954,52.53308400278911,0.053410695,120.98081299336627,40.40107390920155,1
1784214381.4009686,fixed,target,arm_4,0,0,1,1173,0.08925401957690154,0.9538638640205389,0.5350062849526749,1.0821779784385126,5.389290761605635,0.8756814055079962,0.09542050922511355,20.792749495388414,0.8258588291519634,1.5549520581119822,11.789332958869636,0.07189603,144.79018101701513,34.265862916910926,1
1784214389.3500838,fixed,target,arm_4,0,0,0,1173,0.08499609183585789,0.9171520800861841,0.5350062849526749,1.0821779784385126,5.389290761605635,0.8756814055079962,0.09542050922511355,20.469380139346605,0.6851140134128126,0.44328088696712786,6.037593993823975,0.069981242,122.54145700717345,25.441364083166278,1
1784214397.535198,fixed,target,arm_4,0,0,4,2024,0.09573430970051042,0.9968855535876289,0.6190815642003562,1.3707074492281468,5.8215945841095555,0.41916606717172245,0.0981521134067919,23.751307267660753,0.3648722527874099,3.141592653589793,8.973501971922815,0.073992044,172.76419501286,33.35884493477418,1
1784214405.550671,fixed,target,arm_4,0,0,3,1127,0.08178859067195221,0.9618172767599542,0.5760196862953163,1.3584513293206066,5.621740808651712,1.2340576925990971,0.09072402586416095,22.626957244711434,0.6309260579247742,-1.1956312067200723,13.162154995370656,0.105163025,202.27492600679398,36.136959044982135,1
1784214413.610838,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214421.7097673,fixed,target,arm_4,0,0,3,229,0.09718547336266571,1.3149209138733229,0.5094303124501836,1.543554906396114,9.525316329806161,5.844707303222215,0.08110777364642492,24.983755353280078,0.5609349120786942,-1.5831666294884703,127.72421003319323,0.074401058,156.91714698914438,36.45625599454701,1
1784214429.7007935,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214437.7168481,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214445.88061,fixed,target,arm_4,0,0,3,16,0.23385238405631328,1.6727271791327896,1.2209395696389114,2.3167203958325637,8.302583436689694,7.091235237473365,0.10288014765054077,45.796224819181376,1.102673289498064,1.5261392818423876,158.2660079584457,0.089710157,166.83143196860328,46.85574071624059,1
