t,det_idx,label,x,y,z,matched_gt,gt_dist,is_fp
1784267563.289,0,obj_0,2.7910,-0.9334,1.1937,obj_0,0.0686389021772871,0
1784267563.289,1,obj_1,2.8890,-0.6032,1.0860,obj_1,0.014832041524333883,0
1784267563.289,2,obj_2,3.2614,-0.6382,1.1336,obj_2,0.02174592881643769,0
1784267563.289,3,obj_3,1.7715,-0.9659,1.2366,obj_3,0.006584841762261501,0
1784267563.289,4,obj_4,1.4676,0.5971,1.0846,obj_4,0.021083118757938474,0
1784267563.289,5,obj_5,2.0108,0.6071,1.0256,obj_5,0.010691005035638777,0
1784267563.289,6,obj_6,0.0028,0.0006,1.0438,obj_6,0.004215801582675223,0
1784267563.289,7,obj_7,0.0082,0.3748,1.0279,obj_7,0.014950502875270997,0
1784267563.289,8,gray scissors,0.3353,0.4276,1.7842,,,1
1784267563.289,9,blue box,1.9123,-0.8019,0.7352,,,1
1784267563.395,0,obj_0,2.7916,-0.9333,1.1936,obj_0,0.06919351515735613,0
1784267563.395,1,obj_1,2.8891,-0.6032,1.0860,obj_1,0.014899871432446761,0
1784267563.395,2,obj_2,3.2615,-0.6381,1.1336,obj_2,0.021925390472498744,0
1784267563.395,3,obj_3,1.7715,-0.9659,1.2366,obj_3,0.006615426607507044,0
1784267563.395,4,obj_4,1.4676,0.5971,1.0845,obj_4,0.021161070328555447,0
1784267563.395,5,obj_5,2.0108,0.6072,1.0256,obj_5,0.0107912072847368,0
1784267563.395,6,obj_6,0.0028,0.0006,1.0438,obj_6,0.004222434403790074,0
1784267563.395,7,obj_7,0.0082,0.3748,1.0279,obj_7,0.014960383511532421,0
1784267563.395,8,gray scissors,0.3353,0.4276,1.7842,,,1
1784267563.395,9,blue box,1.9123,-0.8019,0.7352,,,1
1784267563.885,0,obj_0,2.7918,-0.9332,1.1935,obj_0,0.06943506450780024,0
1784267563.885,1,obj_1,2.8892,-0.6033,1.0859,obj_1,0.01502294254691773,0
1784267563.885,2,obj_2,3.2615,-0.6382,1.1337,obj_2,0.021887736826566105,0
1784267563.885,3,obj_3,1.7715,-0.9659,1.2366,obj_3,0.006631423949373782,0
1784267563.885,4,obj_4,1.4676,0.5972,1.0845,obj_4,0.02109202353376732,0
1784267563.885,5,obj_5,2.0108,0.6073,1.0256,obj_5,0.010842569110572794,0
1784267563.885,6,obj_6,0.0026,0.0002,1.0432,obj_6,0.004662551891096929,0
1784267563.885,7,obj_7,0.0084,0.3748,1.0280,obj_7,0.014743379088598551,0
1784267563.885,8,gray scissors,0.3353,0.4276,1.7842,,,1
1784267563.885,9,blue box,1.9124,-0.8019,0.7348,,,1
1784267564.386,0,obj_0,2.7919,-0.9332,1.1935,obj_0,0.06955587118489406,0
1784267564.386,1,obj_1,2.8892,-0.6033,1.0859,obj_1,0.015084515157629852,0
1784267564.386,2,obj_2,3.2615,-0.6382,1.1337,obj_2,0.021869068460944014,0
1784267564.386,3,obj_3,1.7715,-0.9659,1.2366,obj_3,0.006639425271321906,0
1784267564.386,4,obj_4,1.4677,0.5972,1.0846,obj_4,0.021057537070399496,0
1784267564.386,5,obj_5,2.0109,0.6073,1.0256,obj_5,0.010868270035965388,0
1784267564.386,6,obj_6,0.0025,0.0000,1.0430,obj_6,0.004904898474641059,0
1784267564.386,7,obj_7,0.0085,0.3748,1.0280,obj_7,0.014634897993780281,0
1784267564.386,8,gray scissors,0.3353,0.4276,1.7842,,,1
1784267564.386,9,blue box,1.9124,-0.8019,0.7347,,,1
1784267564.889,0,obj_0,2.7920,-0.9331,1.1934,obj_0,0.06961628247532005,0
