t,det_idx,label,x,y,z,matched_gt,gt_dist,is_fp
1784255657.884,0,obj_7,0.0101,0.3754,1.0279,obj_7,0.013084375745318271,0
1784255657.884,1,obj_4,1.4672,0.5968,1.0862,obj_4,0.019509231802663476,0
1784255657.884,2,obj_3,1.7712,-0.9662,1.2368,obj_3,0.006469929669522687,0
1784255657.884,3,obj_6,-0.0143,-0.0044,1.0448,obj_6,0.01740665184096235,0
1784255657.884,4,obj_5,2.0183,0.5908,1.0281,obj_5,0.011474932841907457,0
1784255657.884,5,obj_2,3.2567,-0.6411,1.1332,obj_2,0.016275084797838974,0
1784255657.884,6,obj_0,2.7750,-0.9381,1.1953,obj_0,0.051828330435807604,0
1784255657.884,7,obj_1,2.8874,-0.6038,1.0864,obj_1,0.013885150575507717,0
1784255658.391,0,obj_7,0.0101,0.3754,1.0278,obj_7,0.013111406886779003,0
1784255658.391,1,obj_4,1.4675,0.5971,1.0854,obj_4,0.02029914052267393,0
1784255658.391,2,obj_3,1.7713,-0.9661,1.2359,obj_3,0.007297039860436813,0
1784255658.391,3,obj_6,-0.0140,-0.0043,1.0444,obj_6,0.017178620820066503,0
1784255658.391,4,obj_5,2.0198,0.5904,1.0279,obj_5,0.012853456316146265,0
1784255658.391,5,obj_2,3.2592,-0.6397,1.1334,obj_2,0.01916682338621535,0
1784255658.391,6,obj_0,2.7835,-0.9356,1.1945,obj_0,0.06071099028793639,0
1784255658.391,7,obj_1,2.8885,-0.6041,1.0862,obj_1,0.014929512870404905,0
1784255658.883,0,obj_7,0.0101,0.3754,1.0277,obj_7,0.013125356838314452,0
1784255658.883,1,obj_4,1.4676,0.5972,1.0849,obj_4,0.020698682032720107,0
1784255658.883,2,obj_3,1.7714,-0.9660,1.2355,obj_3,0.007713901936804991,0
1784255658.883,3,obj_6,-0.0139,-0.0042,1.0443,obj_6,0.01706834483183704,0
1784255658.883,4,obj_5,2.0205,0.5903,1.0278,obj_5,0.013557174571666908,0
1784255658.883,5,obj_2,3.2605,-0.6390,1.1335,obj_2,0.020614624398926015,0
1784255658.883,6,obj_0,2.7877,-0.9344,1.1941,obj_0,0.06515239615696919,0
1784255658.883,7,obj_1,2.8890,-0.6043,1.0862,obj_1,0.01545811613556725,0
1784255659.382,0,obj_7,0.0092,0.3754,1.0278,obj_7,0.01400674469186935,0
1784255659.382,1,obj_4,1.4677,0.5973,1.0848,obj_4,0.020801469669839416,0
1784255659.382,2,obj_3,1.7715,-0.9660,1.2352,obj_3,0.008005193742814581,0
1784255659.382,3,obj_6,-0.0138,-0.0041,1.0442,obj_6,0.017014163105829264,0
1784255659.382,4,obj_5,2.0209,0.5907,1.0278,obj_5,0.013607505430218925,0
1784255659.382,5,obj_2,3.2610,-0.6386,1.1336,obj_2,0.021228153758415115,0
1784255659.382,6,obj_0,2.7898,-0.9337,1.1939,obj_0,0.067347301531088,0
1784255659.382,7,obj_1,2.8889,-0.6034,1.0861,obj_1,0.014838868557337485,0
