round,obj,t_start,csv_rows_before,csv_rows_after,result,detail
1,obj_0,1784252797.0,3,4,SUCCESS,"arm_4 reached the target (max joint err=0.026 <= 0.03)"
1,obj_1,1784252830.7,4,5,SUCCESS,"arm_3 reached the target (max joint err=0.028 <= 0.03) -- 1st candidate arm_4 exec-aborted (err=1), retried & succeeded on arm_3"
1,obj_3,1784253043.3,5,6,SUCCESS,"arm_4 reached the target (max joint err=0.026 <= 0.03)"
1,obj_4,1784253062.1,6,7,SUCCESS,"arm_3 reached the target (max joint err=0.025 <= 0.03)"
1,obj_5,1784253086.8,7,8,SUCCESS,"arm_3 reached the target (max joint err=0.025 <= 0.03)"
1,obj_6,1784253117.7,8,9,SUCCESS,"arm_2 reached the target (max joint err=0.026 <= 0.03)"
1,obj_7,1784253160.4,9,10,SUCCESS,"arm_2 reached the target (max joint err=0.027 <= 0.03)"
2,obj_0,1784253185.0,10,11,SUCCESS,"arm_4 reached the target (max joint err=0.030 <= 0.03)"
2,obj_1,1784253229.7,11,12,SUCCESS,"arm_4 reached the target (max joint err=0.026 <= 0.03)"
2,obj_3,1784253256.4,12,13,SUCCESS,"arm_3 reached the target (max joint err=0.028 <= 0.03)"
2,obj_4,1784253295.0,13,14,SUCCESS,"arm_3 reached the target (max joint err=0.021 <= 0.03)"
2,obj_5,1784253325.8,14,15,SUCCESS,"arm_3 reached the target (max joint err=0.027 <= 0.03)"
2,obj_6,1784253341.4,15,16,SUCCESS,"arm_2 reached the target (max joint err=0.026 <= 0.03)"
2,obj_7,1784253368.3,16,17,SUCCESS,"arm_2 reached the target (max joint err=0.026 <= 0.03)"
3,obj_0,1784253405.0,17,18,SUCCESS,"arm_4 reached the target (max joint err=0.028 <= 0.03)"
3,obj_1,1784253447.9,18,19,SUCCESS,"arm_3 reached the target (max joint err=0.022 <= 0.03)"
3,obj_3,1784253600.7,19,20,SUCCESS,"arm_4 reached the target (max joint err=0.029 <= 0.03)"
3,obj_4,1784253638.5,20,21,SUCCESS,"arm_3 reached the target (max joint err=0.028 <= 0.03)"
3,obj_5,1784253652.1,21,22,SUCCESS,"arm_3 reached the target (max joint err=0.026 <= 0.03)"
3,obj_6,1784253671.0,22,23,SUCCESS,"arm_2 reached the target (max joint err=0.023 <= 0.03)"
3,obj_7,1784253702.6,23,24,SUCCESS,"arm_2 reached the target (max joint err=0.027 <= 0.03)"
4,obj_0,1784253728.3,24,25,SUCCESS,"arm_4 reached the target (max joint err=0.023 <= 0.03)"
4,obj_1,1784253772.2,25,26,SUCCESS,"arm_4 reached the target (max joint err=0.030 <= 0.03)"
4,obj_3,1784253804.9,26,27,SUCCESS,"arm_3 reached the target (max joint err=0.013 <= 0.03)"
4,obj_4,1784253830.7,27,28,SUCCESS,"arm_4 reached the target (max joint err=0.030 <= 0.03)"
4,obj_5,1784253864.4,28,29,SUCCESS,"arm_3 reached the target (max joint err=0.028 <= 0.03)"
4,obj_6,1784253887.2,29,30,SUCCESS,"arm_2 reached the target (max joint err=0.026 <= 0.03)"
4,obj_7,1784253915.1,30,31,SUCCESS,"arm_2 reached the target (max joint err=0.026 <= 0.03)"
5,obj_0,1784253951.9,31,32,SUCCESS,"arm_4 reached the target (max joint err=0.026 <= 0.03)"
5,obj_1,1784253982.6,32,33,SUCCESS,"arm_3 reached the target (max joint err=0.027 <= 0.03)"
5,obj_3,1784254170.5,33,34,SUCCESS,"arm_3 reached the target (max joint err=0.027 <= 0.03)"
5,obj_4,1784254193.1,34,35,SUCCESS,"arm_4 reached the target (max joint err=0.030 <= 0.03)"
5,obj_5,1784254220.9,35,36,SUCCESS,"arm_4 reached the target (max joint err=0.023 <= 0.03)"
5,obj_6,1784254252.8,36,37,SUCCESS,"arm_2 reached the target (max joint err=0.022 <= 0.03)"
5,obj_7,1784254310.6,37,38,SUCCESS,"arm_2 reached the target (max joint err=0.029 <= 0.03)"
