event,arm,time_to_dwell_s,pos_err_max_mm,pos_err_mean_mm,ori_err_max_deg,ori_err_mean_deg,pos_err_max_settled_mm,ori_err_max_settled_deg,n_window_samples,sample_rate_hz,n_tf_fail,peak_effort_nm,pos_tol_mm,ori_tol_deg,dwell_s,instrument_ok
success,arm_3,51.221,4.609,1.058,1.728,1.637,0.872,1.667,41,20.01,0,"{""t2_a2_joint_3"": 0.674, ""t1_a1_joint_4"": 0.03, ""t2_a2_joint_6"": 0.023, ""t1_a1_joint_3"": 0.323, ""t1_a2_joint_6"": 0.16, ""t2_a2_joint_2"": 1.878, ""t1_a2_joint_5"": 0.206, ""t1_a1_joint_2"": 0.16, ""t1_a2_joint_3"": 0.096, ""t1_a1_joint_5"": 0.037, ""t1_a1_joint_6"": 0.03, ""t2_a1_joint_2"": 8.543, ""t2_a1_joint_5"": 1.022, ""t2_a2_joint_5"": 0.023, ""t1_a2_joint_4"": 0.05, ""t1_a2_joint_1"": 0.055, ""t2_a2_joint_1"": 0.041, ""t2_a1_joint_1"": 1.416, ""t2_a1_joint_6"": 0.646, ""t2_a1_joint_4"": 0.875, ""t1_a1_joint_1"": 0.151, ""t2_a2_joint_4"": 0.02, ""t1_a2_joint_2"": 0.16, ""t2_a1_joint_3"": 4.907}",5.0,5.0,2.0,True
success,arm_3,50.157,3.62,1.584,1.863,1.789,1.706,1.791,41,20.02,0,"{""t2_a2_joint_3"": 0.378, ""t1_a1_joint_4"": 0.03, ""t2_a2_joint_6"": 0.463, ""t1_a1_joint_3"": 0.33, ""t1_a2_joint_6"": 0.16, ""t2_a2_joint_2"": 2.222, ""t1_a2_joint_5"": 0.21, ""t1_a2_joint_3"": 0.096, ""t1_a1_joint_5"": 0.037, ""t1_a1_joint_6"": 0.03, ""t2_a1_joint_2"": 8.681, ""t1_a2_joint_2"": 0.16, ""t2_a1_joint_5"": 0.919, ""t2_a2_joint_5"": 0.193, ""t1_a2_joint_4"": 0.05, ""t1_a2_joint_1"": 0.055, ""t2_a2_joint_1"": 0.33, ""t2_a1_joint_1"": 1.313, ""t2_a1_joint_6"": 0.622, ""t2_a1_joint_4"": 1.118, ""t1_a1_joint_1"": 0.151, ""t2_a1_joint_3"": 4.646, ""t2_a2_joint_4"": 0.1, ""t1_a1_joint_2"": 0.137}",5.0,5.0,2.0,True
success,arm_4,95.576,2.563,1.542,1.612,1.552,1.408,1.563,41,20.0,0,"{""t2_a2_joint_3"": 4.406, ""t1_a1_joint_4"": 0.03, ""t2_a2_joint_6"": 0.596, ""t1_a1_joint_3"": 0.33, ""t1_a2_joint_6"": 0.16, ""t2_a2_joint_2"": 10.582, ""t1_a2_joint_5"": 0.216, ""t1_a1_joint_2"": 0.137, ""t1_a2_joint_3"": 0.096, ""t1_a1_joint_5"": 0.037, ""t1_a1_joint_6"": 0.03, ""t2_a1_joint_2"": 8.681, ""t1_a2_joint_2"": 0.16, ""t2_a1_joint_5"": 0.919, ""t2_a2_joint_5"": 0.968, ""t1_a2_joint_4"": 0.05, ""t1_a2_joint_1"": 0.055, ""t2_a2_joint_1"": 1.622, ""t2_a1_joint_1"": 1.313, ""t2_a1_joint_6"": 0.622, ""t2_a1_joint_4"": 1.118, ""t1_a1_joint_1"": 0.151, ""t2_a1_joint_3"": 4.646, ""t2_a2_joint_4"": 0.852}",5.0,5.0,2.0,True
success,arm_1,46.525,3.133,2.071,3.006,2.202,2.08,2.177,42,20.01,0,"{""t2_a2_joint_3"": 0.364, ""t1_a1_joint_4"": 0.812, ""t2_a2_joint_6"": 0.476, ""t1_a1_joint_3"": 4.674, ""t1_a2_joint_6"": 0.16, ""t2_a2_joint_2"": 2.382, ""t1_a2_joint_5"": 0.266, ""t1_a1_joint_2"": 7.719, ""t1_a2_joint_3"": 0.137, ""t1_a1_joint_5"": 1.065, ""t1_a1_joint_6"": 0.476, ""t2_a1_joint_2"": 4.008, ""t1_a2_joint_2"": 0.137, ""t2_a1_joint_5"": 0.616, ""t2_a2_joint_5"": 0.27, ""t1_a2_joint_4"": 0.053, ""t1_a2_joint_1"": 0.048, ""t2_a2_joint_1"": 0.247, ""t2_a1_joint_1"": 0.082, ""t2_a1_joint_6"": 0.366, ""t2_a1_joint_4"": 0.08, ""t1_a1_joint_1"": 1.299, ""t2_a1_joint_3"": 1.32, ""t2_a2_joint_4"": 0.12}",5.0,5.0,2.0,True
success,arm_2,76.276,2.841,1.873,1.03,1.002,2.031,1.03,41,20.01,0,"{""t2_a2_joint_3"": 0.364, ""t1_a1_joint_4"": 0.812, ""t2_a2_joint_6"": 0.476, ""t1_a1_joint_3"": 4.674, ""t1_a2_joint_6"": 0.383, ""t2_a2_joint_2"": 2.382, ""t1_a2_joint_5"": 0.486, ""t1_a1_joint_2"": 7.719, ""t1_a2_joint_3"": 4.048, ""t1_a1_joint_5"": 1.065, ""t1_a1_joint_6"": 0.476, ""t2_a1_joint_2"": 4.008, ""t1_a2_joint_2"": 9.803, ""t2_a1_joint_5"": 0.616, ""t2_a2_joint_5"": 0.27, ""t1_a2_joint_4"": 0.446, ""t1_a2_joint_1"": 1.423, ""t2_a2_joint_1"": 0.254, ""t2_a1_joint_1"": 0.082, ""t2_a1_joint_6"": 0.366, ""t2_a1_joint_4"": 0.08, ""t1_a1_joint_1"": 1.299, ""t2_a1_joint_3"": 1.32, ""t2_a2_joint_4"": 0.12}",5.0,5.0,2.0,True
success,arm_3,116.409,2.811,1.736,2.295,1.451,1.668,1.45,42,20.01,0,"{""t2_a2_joint_3"": 0.364, ""t1_a1_joint_4"": 0.812, ""t2_a2_joint_6"": 0.476, ""t1_a1_joint_3"": 4.674, ""t1_a2_joint_6"": 0.383, ""t2_a2_joint_2"": 2.382, ""t1_a2_joint_5"": 0.486, ""t1_a1_joint_2"": 7.719, ""t1_a2_joint_3"": 4.048, ""t1_a1_joint_5"": 1.065, ""t1_a1_joint_6"": 0.476, ""t2_a1_joint_2"": 6.07, ""t1_a2_joint_2"": 9.803, ""t2_a1_joint_5"": 1.108, ""t2_a2_joint_5"": 0.27, ""t1_a2_joint_4"": 0.446, ""t1_a2_joint_1"": 1.423, ""t2_a2_joint_1"": 0.261, ""t2_a1_joint_1"": 1.217, ""t2_a1_joint_6"": 0.596, ""t2_a1_joint_4"": 1.105, ""t1_a1_joint_1"": 1.299, ""t2_a1_joint_3"": 5.512, ""t2_a2_joint_4"": 0.12}",5.0,5.0,2.0,True
success,arm_4,143.076,4.607,2.079,0.689,0.65,2.033,0.657,41,20.0,0,"{""t2_a2_joint_3"": 4.33, ""t1_a1_joint_4"": 0.812, ""t2_a2_joint_6"": 0.582, ""t1_a1_joint_3"": 4.674, ""t1_a2_joint_6"": 0.383, ""t2_a2_joint_2"": 10.696, ""t1_a2_joint_5"": 0.486, ""t1_a1_joint_2"": 7.719, ""t1_a2_joint_3"": 4.048, ""t1_a1_joint_5"": 1.065, ""t1_a1_joint_6"": 0.476, ""t2_a1_joint_2"": 6.07, ""t2_a1_joint_5"": 1.108, ""t2_a2_joint_5"": 0.616, ""t1_a2_joint_4"": 0.446, ""t2_a2_joint_1"": 1.863, ""t2_a1_joint_1"": 1.217, ""t2_a1_joint_6"": 0.596, ""t2_a1_joint_4"": 1.105, ""t1_a1_joint_1"": 1.299, ""t2_a1_joint_3"": 5.512, ""t2_a2_joint_4"": 0.586, ""t1_a2_joint_2"": 9.803, ""t1_a2_joint_1"": 1.423}",5.0,5.0,2.0,True
success,arm_1,24.548,2.655,2.061,1.749,1.738,1.88,1.736,41,20.0,0,"{""t2_a2_joint_3"": 0.357, ""t1_a1_joint_4"": 0.759, ""t2_a2_joint_6"": 0.483, ""t1_a1_joint_3"": 2.447, ""t1_a2_joint_6"": 0.24, ""t2_a2_joint_2"": 2.359, ""t1_a2_joint_5"": 0.173, ""t1_a1_joint_2"": 12.62, ""t1_a2_joint_3"": 0.172, ""t1_a1_joint_5"": 0.742, ""t1_a1_joint_6"": 0.589, ""t2_a1_joint_2"": 2.428, ""t1_a2_joint_2"": 0.55, ""t2_a1_joint_5"": 0.549, ""t2_a2_joint_5"": 0.19, ""t1_a2_joint_4"": 0.156, ""t1_a2_joint_1"": 0.467, ""t2_a2_joint_1"": 0.275, ""t2_a1_joint_1"": 0.082, ""t2_a1_joint_6"": 0.426, ""t2_a1_joint_4"": 0.073, ""t1_a1_joint_1"": 1.278, ""t2_a1_joint_3"": 1.148, ""t2_a2_joint_4"": 0.033}",5.0,5.0,2.0,True
success,arm_2,55.811,4.333,1.888,1.049,1.01,1.771,1.043,41,20.01,0,"{""t2_a2_joint_3"": 0.357, ""t1_a1_joint_4"": 0.759, ""t2_a2_joint_6"": 0.483, ""t1_a1_joint_3"": 2.447, ""t1_a2_joint_6"": 0.426, ""t2_a2_joint_2"": 2.359, ""t1_a2_joint_5"": 0.453, ""t1_a1_joint_2"": 12.62, ""t1_a2_joint_3"": 1.973, ""t1_a1_joint_5"": 0.742, ""t1_a1_joint_6"": 0.589, ""t2_a1_joint_2"": 2.451, ""t1_a2_joint_2"": 11.2, ""t2_a1_joint_5"": 0.552, ""t2_a2_joint_5"": 0.193, ""t1_a2_joint_4"": 0.552, ""t1_a2_joint_1"": 1.375, ""t2_a2_joint_1"": 0.275, ""t2_a1_joint_1"": 0.089, ""t2_a1_joint_6"": 0.426, ""t2_a1_joint_4"": 0.073, ""t1_a1_joint_1"": 1.278, ""t2_a1_joint_3"": 1.162, ""t2_a2_joint_4"": 0.033}",5.0,5.0,2.0,True
success,arm_3,94.416,2.694,1.557,1.201,1.16,1.572,1.16,41,20.01,0,"{""t2_a2_joint_3"": 0.357, ""t1_a1_joint_4"": 0.759, ""t2_a2_joint_6"": 0.483, ""t1_a1_joint_3"": 2.447, ""t1_a2_joint_6"": 0.426, ""t2_a2_joint_2"": 2.359, ""t1_a2_joint_5"": 0.453, ""t1_a1_joint_2"": 12.62, ""t1_a2_joint_3"": 1.973, ""t1_a1_joint_5"": 0.742, ""t1_a1_joint_6"": 0.589, ""t2_a1_joint_2"": 12.299, ""t1_a2_joint_2"": 11.2, ""t2_a1_joint_5"": 0.662, ""t2_a2_joint_5"": 0.193, ""t1_a2_joint_4"": 0.566, ""t1_a2_joint_1"": 1.375, ""t2_a2_joint_1"": 0.282, ""t2_a1_joint_1"": 1.464, ""t2_a1_joint_6"": 0.586, ""t2_a1_joint_4"": 0.522, ""t1_a1_joint_1"": 1.278, ""t2_a1_joint_3"": 4.667, ""t2_a2_joint_4"": 0.033}",5.0,5.0,2.0,True
